id,name,host_id,host_name,neighbourhood_group,neighbourhood,seattle_region,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53327630,Home in Seattle · 4 bedrooms · 4 beds · 2.5 baths,17346153,Julia,Rainier Valley,Columbia City,south,47.54671,-122.27876,Entire home/apt,189,2,2,7/14/2022,0.17,1,240,2,STR-OPLI-22-000936
7.08E+17,Townhouse in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,453078441,Nancy I,Ballard,Whittier Heights,north,47.681,-122.37642,Entire home/apt,187,2,6,6/11/2023,0.71,1,344,6,STR-OPLI-22-001435
46309611,Rental unit in Seattle · ★4.77 · 2 bedrooms · 4 beds · 1.5 baths,371227093,Lily,Rainier Valley,Mount Baker,south,47.58334,-122.29538,Entire home/apt,174,2,78,6/20/2023,2.44,3,103,35,STR-OPLI-20-001053
20269058,Condo in Seattle · ★4.51 · 1 bedroom · 3 beds · 1 bath,4874276,Sarah,Downtown,First Hill,central,47.61159,-122.32857,Entire home/apt,114,3,208,6/16/2023,2.91,7,101,51,STR-OPLI-19-002766
52719504,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,46771655,Abigail,Other neighborhoods,Greenwood,north,47.68831,-122.365,Entire home/apt,122,3,27,6/26/2023,1.42,1,80,20,STR-OPLI-22-001423
33225888,Home in Seattle · ★4.85 · 3 bedrooms · 3 beds · 1 bath,250175998,Holly And Matt,Magnolia,Southeast Magnolia,central,47.64483,-122.38391,Entire home/apt,150,3,524,6/19/2023,10.08,2,175,104,STR-OPLI-19-002023
8.28E+17,Rental unit in Seattle · 4 bedrooms · 4 beds · 2 baths,484295554,Blanton,University District,University District,north,47.65691674,-122.3146567,Entire home/apt,225,30,0,,,13,97,0,
15407909,Home in Seattle · ★4.99 · 5 bedrooms · 7 beds · 3.5 baths,34002693,Jeffrey,Queen Anne,North Queen Anne,central,47.64381,-122.36719,Entire home/apt,879,2,139,6/20/2023,1.72,1,295,27,STR-OPLI-19-003416
20759864,Rental unit in Seattle · ★4.81 · 1 bedroom · 2 beds · 1 bath,51517056,Keith & Lauren,Other neighborhoods,Greenwood,north,47.69325,-122.35406,Entire home/apt,279,5,43,10/8/2022,0.64,1,266,4,STR-OPLI-22-000216
27909830,Guest suite in Seattle · ★4.70 · 2 bedrooms · 2 beds · 1 bath,61586257,Yuliya,Capitol Hill,Stevens,central,47.63341,-122.30454,Entire home/apt,170,2,89,6/10/2023,1.52,1,346,15,STR-OPLI-19-002152
